시간,규모,진앙,위도,경도,위치
2016-09-128:43:00PM,2.4,13,35.76,129.19,경북경주시남남서쪽9km지역
2016-09-128:44:00PM,2.5,17,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-128:45:00PM,2.3,15,35.76,129.17,경북경주시남남서쪽10km지역
2016-09-128:45:00PM,2.7,14,35.78,129.2,경북경주시남남서쪽7km지역
2016-09-128:46:00PM,2.4,16,35.76,129.17,경북경주시남남서쪽10km지역
2016-09-128:47:00PM,2.2,14,35.81,129.23,경북경주시남남동쪽3km지역
2016-09-128:47:00PM,2.9,16,35.76,129.19,경북경주시남남서쪽9km지역
2016-09-128:51:00PM,2.6,16,35.75,129.16,경북경주시남남서쪽11km지역
2016-09-128:55:00PM,2,11,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-128:58:00PM,2.1,16,35.77,129.17,경북경주시남남서쪽9km지역
2016-09-129:00:00PM,2.5,18,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-129:07:00PM,2,15,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-129:09:00PM,2.2,15,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-129:16:00PM,2.1,13,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-129:20:00PM,2.8,19,35.78,129.18,경북경주시남남서쪽7km지역
2016-09-129:33:00PM,2.3,17,35.76,129.02,경북경주시서남서쪽20km지역
2016-09-129:38:00PM,2.6,18,35.76,129.19,경북경주시남남서쪽9km지역
2016-09-129:54:00PM,2.2,16,35.76,129.16,경북경주시남남서쪽10km지역
2016-09-129:54:00PM,2.1,12,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-1210:06:00PM,2.1,16,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-1210:08:00PM,2,18,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-1210:13:00PM,2.4,17,35.76,129.19,경북경주시남남서쪽9km지역
2016-09-1210:17:00PM,2.5,15,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-1210:18:00PM,2,17,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-1210:22:00PM,2.2,17,35.76,129.18,경북경주시남남서쪽9km지역
2016-09-1210:23:00PM,2.4,17,35.77,129.18,경북경주시남남서쪽8km지역
2016-09-1210:47:00PM,2.1,13,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-1211:18:00PM,3,17,35.76,129.17,경북경주시남남서쪽8km지역
2016-09-1211:52:00PM,3.1,18,35.75,129.18,경북경주시남남서쪽10km지역
2016-09-1211:53:00PM,2.2,16,35.77,129.19,경북경주시남남서쪽8km지역
2016-09-1312:07:00AM,2.2,16,35.76,129.19,경북경주시남남서쪽9km지역
