,시간,규모,진앙,위도,경도,위치,pca_x,pca_y,cluster,silhouette_coff,cluster_db
31,2013-06-0512:34:00PM,2.6,22.0,36.23,126.18,충남보령시서남서쪽41km해역,9.412880710403236,2.325498120055717,2,0.5620146366743561,8
32,2013-06-085:56:00AM,3.2,17.0,35.14,126.96,광주동구동쪽3km지역,4.627566274279827,1.3905340122404954,2,0.5380061956500551,9
33,2013-06-102:01:00PM,2.1,13.0,37.71,124.7,인천백령도남쪽27km해역,0.21927960098234298,2.9465067674975356,0,0.3542764727101354,7
34,2013-06-167:47:00PM,2.1,16.0,36.19,126.15,충남보령시서남서쪽45km해역,3.465389718048167,1.9331622522886696,2,0.3480451153221784,10
35,2013-06-1610:12:00PM,2.5,15.0,36.2,126.16,충남보령시서남서쪽43km해역,2.473263483435524,1.8687669693555315,2,0.1233963381341485,-1
36,2013-06-178:31:00PM,2.4,23.0,36.2,126.17,충남보령시서남서쪽43km해역,10.406813656498034,2.4002081503866006,2,0.5345204297468653,-1
37,2013-06-182:31:00AM,2.3,22.0,36.21,126.18,충남보령시서남서쪽41km해역,9.41515754725366,2.317047398741482,2,0.5622297681677179,8
38,2013-06-191:52:00AM,2.3,18.0,36.19,126.16,충남보령시서남서쪽43km해역,5.449185214894948,2.0670642794004563,2,0.5603492876856456,11
39,2013-06-194:02:00PM,2.6,18.0,36.19,126.16,충남보령시서남서쪽44km해역,5.448903139673988,2.0783235606276365,2,0.5596567917013309,11
40,2013-06-2012:35:00PM,2.4,0.0,39.23,125.95,북한평안남도평성동쪽8km지역,-12.719876660754332,0.6247973747941503,1,0.6911694665338681,12
41,2013-06-214:29:00PM,2.2,15.0,36.19,126.14,충남보령시서남서쪽45km해역,2.4728909128128866,1.87865257892849,2,0.12312046235779404,-1
42,2013-06-219:55:00PM,2.4,22.0,36.2,126.19,충남보령시서남서쪽41km해역,9.416886916323907,2.3123344670185224,2,0.5623363224663032,8
43,2013-06-223:51:00AM,2.5,21.0,36.2,126.17,충남보령시서남서쪽43km해역,8.423562097759458,2.2676950990801688,2,0.5838626624890391,13
44,2013-06-2210:37:00AM,2.8,17.0,36.19,126.16,충남보령시서남서쪽44km해역,4.45713632269422,2.0176966755880112,2,0.4839795202090873,-1
45,2013-06-2211:18:00AM,2.3,0.0,36.2,126.17,충남보령시서남서쪽43km해역,-12.399403955574927,0.8293943885827146,1,0.6962659211170897,12
46,2013-06-245:28:00AM,2.3,0.0,36.2,126.17,충남보령시서남서쪽43km해역,-12.399403955574927,0.8293943885827146,1,0.6962659211170897,12
47,2013-06-246:26:00PM,2.1,23.0,38.04,129.75,강원동해시북동쪽80km해역,10.519290433649415,-1.403007983848343,2,0.5469167924663915,-1
48,2013-06-277:33:00PM,2.5,0.0,36.2,126.14,충남보령시서남서쪽45km해역,-12.40207004570973,0.8665114923330064,1,0.6959553632405935,12
49,2013-06-291:32:00PM,2.3,16.0,36.2,126.17,충남보령시서남서쪽43km해역,3.465856313744458,1.919523548973318,2,0.34881725518361095,10
50,2013-07-0111:24:00AM,3.0,9.0,38.78,126.36,북한황해북도신계북북서쪽35km지역,-3.717483226545322,0.9190236657142999,0,0.4742685435893433,-1
51,2013-07-132:02:00AM,3.5,24.0,36.2,126.18,충남보령시서남서쪽42km해역,11.398184160849476,2.4997549486555015,2,0.5056955688833459,-1
52,2013-07-151:39:00AM,2.4,0.0,33.03,125.68,제주제주시고산서남서쪽68km해역,-12.123802915507321,1.7619491941969292,1,0.6760917652771717,-1
53,2013-07-157:44:00PM,2.5,20.0,36.2,126.15,충남보령시서남서쪽44km해역,7.430331304268665,2.2193026373994207,2,0.5940054112237139,-1
