crym,tco_btc_nm,ma_fem_dc,agegrp_dc,tco_btc_u_ct,tco_btc_u_am
201906,패밀리레스토랑,2,50,13904,382458519
201906,패밀리레스토랑,2,60,3293,97335238
201906,패밀리레스토랑,2,70,671,20840680
201906,패밀리레스토랑,2,80,134,3860640
201906,패밀리레스토랑,2,90,6,267510
201907,한식,1,1,8,289000
201907,한식,1,10,1308,39383980
201907,한식,1,20,187822,6004019711
201907,한식,1,30,653407,22507666727
201907,한식,1,40,992022,35054303882
201907,한식,1,50,698432,24328276502
201907,한식,1,60,265067,9436659789
201907,한식,1,70,70809,2493990275
201907,한식,1,80,11661,392700810
201907,한식,1,90,468,16379700
201907,한식,2,10,1969,54409130
201907,한식,2,20,218967,6728071493
201907,한식,2,30,670138,22074970286
201907,한식,2,40,1165756,37782267120
201907,한식,2,50,885459,29647224425
201907,한식,2,60,308103,11226679530
201907,한식,2,70,67962,2506814861
201907,한식,2,80,8829,314542960
201907,한식,2,90,288,10815200
201907,일식,1,10,134,4162900
201907,일식,1,20,18571,714977477
201907,일식,1,30,48982,2194344308
201907,일식,1,40,61642,2982812671
201907,일식,1,50,40204,1939911609
201907,일식,1,60,12424,658612900
201907,일식,1,70,3382,158275735
201907,일식,1,80,703,29914140
201907,일식,1,90,41,1409900
201907,일식,2,10,225,6807950
201907,일식,2,20,24985,837833571
201907,일식,2,30,53406,2026818959
201907,일식,2,40,84417,3152391719
201907,일식,2,50,55923,2208978882
201907,일식,2,60,14775,695915040
201907,일식,2,70,3359,150197000
201907,일식,2,80,562,24828015
201907,일식,2,90,38,1476800
201907,중식,1,10,201,4373900
201907,중식,1,20,26816,630832353
201907,중식,1,30,99689,2510235026
201907,중식,1,40,140409,3451552411
201907,중식,1,50,77461,1835365194
201907,중식,1,60,23354,568668299
201907,중식,1,70,6065,160415284
201907,중식,1,80,1147,36313620
201907,중식,1,90,36,1500400
201907,중식,2,10,256,5612400
201907,중식,2,20,29480,695553706
201907,중식,2,30,93557,2402661952
201907,중식,2,40,153233,3657413160
201907,중식,2,50,92052,2159073433
201907,중식,2,60,26491,689496629
201907,중식,2,70,6021,164963734
201907,중식,2,80,889,26367825
201907,중식,2,90,36,861300
201907,양식,1,1,1,40500
201907,양식,1,10,103,2753070
201907,양식,1,20,16318,524334074
201907,양식,1,30,45833,1613167595
201907,양식,1,40,50162,1794706032
201907,양식,1,50,28868,970488193
201907,양식,1,60,7670,276588734
201907,양식,1,70,1691,64750831
201907,양식,1,80,283,16545520
201907,양식,1,90,28,1074900
201907,양식,2,10,228,5971585
201907,양식,2,20,29257,853392280
